,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,baro_pressure,baro_temperature,gps_lat,gps_lon,gps_alt,gps_vel_n_m_s,gps_vel_e_m_s,gps_vel_d_m_s,mag_x,mag_y,mag_z,nav_cmd
145,-0.624245,0.11611383,-0.22583607,-0.6536171,-0.7038953,-11.046846,950.31195,11.5061035,473960257,85475076,538313,-13.78,3.1399999,-0.14,-0.16473301,-0.28598338,0.34485918,16.0
146,-0.18588865,0.48203218,-0.41864893,-0.545878,-0.17717093,-13.6254015,950.31195,11.5061035,473959331,85475669,538332,-11.33,8.33,0.22999999,-0.08967723,-0.44038332,0.18048218,
147,-0.090014845,0.64182186,-0.48682585,-0.8690952,-0.06464344,-15.380352,950.35834,11.511078,473958608,85477597,537708,-0.71,14.49,0.65999997,0.06023668,-0.4676047,0.09934311,
148,0.066046394,0.56938386,-0.4293016,-0.80684596,0.021547815,-14.798561,950.4404,11.514893,473958899,85479077,537205,8.44,12.08,0.59,0.18932591,-0.40676332,0.17541711,
149,0.386691,0.2545982,-0.27803403,-0.59855044,0.7302315,-12.210428,950.49976,11.5173645,473960258,85480210,536659,14.88,1.9399999,0.29999998,0.20828207,-0.2783147,0.3402494,
150,0.45859635,0.029294772,-0.11025487,-0.5506664,0.7182605,-10.69011,950.45715,11.5159,473961342,85480150,536647,14.7,-2.4299998,-0.35999998,0.20226339,-0.045645878,0.44042814,
151,0.19441076,-0.037284255,0.056991648,-0.17717093,0.39743748,-9.167398,950.36316,11.510284,473962879,85479652,537561,14.0199995,-2.87,-0.83,0.21639308,0.101029135,0.42586315,
152,0.023435818,0.012250541,0.1272991,-0.31124622,0.02873042,-9.516952,950.3073,11.507721,473963898,85479421,538024,14.139999,-1.3399999,-0.26,0.23717028,0.1171596,0.39875385,
153,-0.056991648,0.03355583,0.11984225,-0.3854665,-0.05267244,-9.854534,950.3114,11.507751,473965436,85479432,538111,14.2699995,1.41,0.08,0.24043283,0.07788847,0.404906,
154,-0.072970614,0.0127831735,0.084155895,-0.51235914,-0.08140286,-9.840169,950.31854,11.507843,473966469,85479668,538071,14.16,2.87,-0.02,0.23178259,0.017754225,0.42611095,
155,-0.058589544,-0.0015978967,0.042077947,-0.47884035,-0.093373865,-9.660604,950.33417,11.507477,473967981,85480235,538128,13.87,4.0499997,-0.08,0.2263056,-0.02942356,0.41969106,
156,-0.029294772,-0.006924219,0.015978966,-0.50038815,-0.093373865,-9.581595,950.28973,11.506989,473968982,85480687,538189,13.74,4.3199997,-0.049999997,0.22525914,-0.056932487,0.41811782,
157,-0.01438107,-0.0031957934,-0.0010652645,-0.46447513,0.0047884034,-9.545682,950.3112,11.506897,473970461,85481381,538234,13.7,4.3399997,0.049999997,0.22275978,-0.06278716,0.41660726,
158,-0.0026631611,0.0053263223,0.002130529,-0.51954174,0.093373865,-9.706094,950.30365,11.507141,473971458,85481845,538208,13.759999,4.31,0.06,0.23288967,-0.064402394,0.41867825,
159,0.0005326322,0.009054748,-0.00479369,-0.5482722,0.06943185,-9.763555,950.31433,11.507263,473972949,85482521,538173,13.87,4.2,0.02,0.2325655,-0.06443942,0.4181307,
