,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,pressure,temperature,lat,lon,alt,vel_n_m_s,vel_e_m_s,vel_d_m_s,mag_x,mag_y,mag_z
337,-0.0015978967,0.0058589545,0.0037284256,-1.9249382,-0.045489833,-9.569624,954.715,11.758545,473984297,85771274,498301,-9.15,-8.36,1.5699999,-0.08119759,0.13619034,0.4520094
338,0.0015978967,-0.0010652645,0.004261058,-2.0350714,-0.01436521,-9.583989,955.0886,11.778564,473983635,85770373,497056,-9.12,-8.389999,1.56,-0.067305595,0.1376962,0.45273948
339,-0.00479369,0.0010652645,0.0,-2.0231004,-0.10534488,-9.478644,955.2595,11.788757,473982651,85769033,495194,-9.139999,-8.42,1.54,-0.07431055,0.14070807,0.45502123
340,0.002130529,0.012250541,0.002130529,-1.9369092,-0.023942016,-9.792285,955.2595,11.788757,473981988,85768131,493927,-9.16,-8.42,1.55,-0.07617353,0.13332887,0.45490012
341,0.002130529,0.04314321,0.0026631611,-1.958457,-0.011971008,-10.086772,955.5869,11.807526,473981001,85766789,492217,-9.139999,-8.42,1.16,-0.09688931,0.14118063,0.4455093
342,0.0031957934,0.17257284,0.0005326322,-1.6256629,-0.11731588,-11.477803,955.6901,11.812988,473980342,85765893,491426,-9.0,-8.2699995,0.78999996,-0.11234331,0.13890795,0.44381484
343,0.0063915867,0.017576864,-0.012250541,-1.4317327,-0.02633622,-9.933543,955.6597,11.812042,473979394,85764609,491198,-8.4,-7.71,-0.45,-0.15377861,0.13710845,0.43077436
344,0.010652645,-0.009054748,-0.0005326322,-1.0390835,-0.08619126,-9.622296,955.62195,11.809021,473978808,85763816,491587,-7.79,-7.1099997,-0.45999998,-0.16299923,0.13478412,0.43372428
345,-0.0026631611,-0.004261058,-0.0031957934,-0.81402856,-0.1436521,-9.6845455,955.5617,11.806885,473978003,85762732,492013,-7.22,-6.56,-0.29,-0.14895937,0.1445126,0.44290817
346,-0.0010652645,0.0058589545,0.0053263223,-0.7086837,-0.088585466,-9.722853,955.5751,11.805267,473977491,85762041,492238,-6.96,-6.3399997,-0.25,-0.15543771,0.1359773,0.4372814
347,0.0031957934,0.0031957934,0.00479369,-0.7110779,-0.076614454,-9.770737,955.5051,11.803619,473976757,85761054,492526,-6.6299996,-6.0299997,-0.25,-0.15973093,0.13770023,0.43290132
348,0.00958738,-0.07190535,-0.0063915867,-0.7469909,-0.04309563,-9.150639,955.49677,11.802612,473976286,85760421,492718,-6.37,-5.7599998,-0.19,-0.14068879,0.13795121,0.4403886
349,0.0031957934,-0.05219796,-0.010120012,-0.7182605,-0.05267244,-9.337387,955.559,11.805176,473975606,85759509,492471,-6.37,-5.7799997,0.61,-0.11031393,0.14021017,0.44624245
350,0.0015978967,0.10066749,-0.009054748,-0.8714894,-0.09816227,-10.625467,955.63965,11.810181,473975129,85758870,491840,-6.81,-6.14,0.78,-0.11497998,0.14367673,0.43819723
351,0.0005326322,0.029294772,-0.002130529,-0.7517793,-0.04070143,-10.058042,955.63654,11.810486,473974377,85757864,491465,-6.98,-6.31,-0.24,-0.1582374,0.13821788,0.4354713
352,0.0,-0.007989483,0.0026631611,-0.79248077,-0.04070143,-9.65821,955.63654,11.810486,473973882,85757203,491735,-6.67,-6.0299997,-0.34,-0.15722506,0.1359053,0.42850873
353,-0.0037284256,-0.099069595,0.008522116,-0.7278373,-0.1364695,-9.002198,955.58795,11.80722,473973186,85756277,492050,-6.2599998,-5.6299996,-0.06,-0.1351073,0.1326937,0.44225878
354,-0.002130529,-0.03568636,-0.0005326322,-0.7015011,-0.090979666,-9.49301,955.6535,11.811005,473972731,85755672,491765,-6.3399997,-5.72,0.65999997,-0.09852939,0.13761781,0.45111296
355,0.002130529,0.14221281,0.004261058,-0.878672,-0.062249243,-11.08276,955.6535,11.811005,473972008,85754711,490746,-7.06,-6.35,0.68,-0.11901832,0.1357713,0.44491145
356,0.0015978967,0.019707393,0.010120012,-0.7278373,-0.047884032,-9.945514,955.71606,11.815399,473971492,85754025,490617,-7.06,-6.3599997,-0.32999998,-0.16036527,0.13628657,0.43454155
357,0.0031957934,-0.013315806,-0.0015978967,-0.81163436,0.009576807,-9.583989,955.6806,11.812592,473970754,85753046,491120,-6.5699997,-5.91,-0.44,-0.16275391,0.13775828,0.43280786
358,0.0010652645,-0.11345066,0.0015978967,-0.7781156,-0.02873042,-8.78672,955.6806,11.812592,473970291,85752431,491362,-6.25,-5.65,-0.12,-0.12840873,0.14301173,0.44130167
359,-0.006924219,-0.024501082,0.007989483,-0.7086837,-0.019153614,-9.593566,955.76886,11.816193,473969613,85751530,490852,-6.47,-5.83,0.97999996,-0.09656426,0.13400675,0.45550168
360,0.0005326322,0.17204021,0.0005326322,-0.8499416,-0.047884032,-11.45865,955.84155,11.821594,473969122,85750877,490041,-7.06,-6.3399997,0.85999995,-0.1319137,0.13829541,0.44188195
361,0.0058589545,0.00958738,0.0005326322,-0.6512229,-0.04309563,-9.938332,955.84155,11.821594,473968352,85749852,489995,-6.97,-6.2999997,-0.53,-0.17118418,0.14096938,0.4231883
362,0.0026631611,-0.034088463,0.0031957934,-0.7613561,-0.095768064,-9.469068,955.7588,11.816467,473967861,85749196,490422,-6.5899997,-5.91,-0.52,-0.16629834,0.14542386,0.4276032
