timestamp,timestamp_sample,device_id,error_count,pressure,temperature
202992000,202992000,6620172,0,950.3195,11.507355
204000000,204000000,6620172,0,950.2939,11.5065
204984000,204984000,6620172,0,950.29865,11.5065
205996000,205996000,6620172,0,950.3028,11.506531
206980000,206980000,6620172,0,950.28906,11.506531
207984000,207984000,6620172,0,950.2958,11.5065
208996000,208996000,6620172,0,950.30255,11.506622
209976000,209976000,6620172,0,950.2917,11.506348
210988000,210988000,6620172,0,950.2884,11.506256
211992000,211992000,6620172,0,950.28687,11.506256
213000000,213000000,6620172,0,950.2889,11.506165
213984000,213984000,6620172,0,950.30554,11.506073
214992000,214992000,6620172,0,950.283,11.5060425
215976000,215976000,6620172,0,950.2916,11.505798
216988000,216988000,6620172,0,950.27496,11.505646
217992000,217992000,6620172,0,950.2967,11.505737
218976000,218976000,6620172,0,950.2882,11.505676
219984000,219984000,6620172,0,950.26996,11.505798
220996000,220996000,6620172,0,950.2896,11.505829
222000000,222000000,6620172,0,950.27344,11.505585
222988000,222988000,6620172,0,950.2727,11.505341
223992000,223992000,6620172,0,950.2792,11.505585
225000000,225000000,6620172,0,950.2839,11.5060425
225988000,225988000,6620172,0,950.2883,11.506165
226992000,226992000,6620172,0,950.293,11.506134
228000000,228000000,6620172,0,950.28394,11.506165
228988000,228988000,6620172,0,950.28503,11.506409
229996000,229996000,6620172,0,950.28546,11.506714
231000000,231000000,6620172,0,950.30615,11.506897
231984000,231984000,6620172,0,950.31683,11.507172
232992000,232992000,6620172,0,950.3087,11.507385
233976000,233976000,6620172,0,950.31067,11.507538
234988000,234988000,6620172,0,950.31195,11.50769
235992000,235992000,6620172,0,950.3441,11.5078125
237000000,237000000,6620172,0,950.3148,11.508087
237984000,237984000,6620172,0,950.3562,11.508362
238992000,238992000,6620172,0,950.32886,11.508514
239976000,239976000,6620172,0,950.31726,11.508667
240984000,240984000,6620172,0,950.3151,11.5086975
241992000,241992000,6620172,0,950.3439,11.509338
243000000,243000000,6620172,0,950.4184,11.513245
243984000,243984000,6620172,0,950.48553,11.516937
244996000,244996000,6620172,0,950.52795,11.519318
246000000,246000000,6620172,0,950.5091,11.518829
246984000,246984000,6620172,0,950.4006,11.513031
247992000,247992000,6620172,0,950.3263,11.508789
249000000,249000000,6620172,0,950.31287,11.508179
249988000,249988000,6620172,0,950.32904,11.50827
250996000,250996000,6620172,0,950.3338,11.507874
251976000,251976000,6620172,0,950.29156,11.507446
252984000,252984000,6620172,0,950.3111,11.507263
253992000,253992000,6620172,0,950.3103,11.507172
255000000,255000000,6620172,0,950.3187,11.50705
255988000,255988000,6620172,0,950.29425,11.506775
256996000,256996000,6620172,0,950.3107,11.506622
257976000,257976000,6620172,0,950.2763,11.506439
258988000,258988000,6620172,0,950.2939,11.506592
259992000,259992000,6620172,0,950.30206,11.506805
260976000,260976000,6620172,0,950.3008,11.506897
261984000,261984000,6620172,0,950.3097,11.507172
262996000,262996000,6620172,0,950.32965,11.507568
263976000,263976000,6620172,0,950.3026,11.507935
264988000,264988000,6620172,0,950.3241,11.50827
265996000,265996000,6620172,0,950.3198,11.508606
266976000,266976000,6620172,0,950.3162,11.507782
267984000,267984000,6620172,0,950.3562,11.509766
268992000,268992000,6620172,0,950.4265,11.513153
